EETrajData1,EETrajData2,EETrajData3,EETrajData4,EETrajData5,EETrajData6
EE X (Mm),EE Y (Mm),EE Z (Mm),EE Roll (Deg),EE Pitch (Deg),EE Yaw (Deg)
1626.21341017363,19.0857916672398,1426.79818171665,-15.9533117495731,-73.9913608447542,-158.696892394948
1627.69397338143,19.2210894798588,1425.99284465049,-15.9340739841641,-73.8822378113487,-158.681066182866
1629.17307996542,19.3564387816856,1425.18483632531,-15.9148328019671,-73.773109981221,-158.665256982494
1630.65072496697,19.4918390305116,1424.37415937876,-15.8955881695311,-73.6639773778654,-158.649464761271
1632.12690343257,19.6272896835496,1423.56081645724,-15.876340053398,-73.5548400247605,-158.633689486646
1633.6016104138,19.7627901974364,1422.74481021592,-15.8570884201018,-73.4456979453688,-158.617931126085
1635.07484096736,19.8983400282352,1421.9261433187,-15.8378332361696,-73.336551163137,-158.602189647065
1636.5465901551,20.0339386314373,1421.10481843823,-15.8185744681204,-73.2273997014959,-158.586465017079
1638.01685304401,20.1695854619647,1420.28083825587,-15.7993120824649,-73.118243583861,-158.570757203631
1639.48562470626,20.3052799741724,1419.45420546171,-15.780046045706,-73.0090828336318,-158.55506617424
1640.95290021921,20.4410216218501,1418.62492275453,-15.7607763243383,-72.8999174741925,-158.539391896438
1642.41867466542,20.5768098582251,1417.79299284182,-15.7415028848475,-72.7907475289121,-158.523734337767
1643.88294313267,20.7126441359641,1416.95841843977,-15.7222256937105,-72.681573021144,-158.508093465785
1645.34570071398,20.8485239071755,1416.12120227321,-15.7029447173958,-72.5723939742266,-158.492469248059
1646.80694250762,20.9844486234116,1415.28134707568,-15.6836599223618,-72.4632104114831,-158.476861652172
1648.26666361714,21.1204177356712,1414.43885558936,-15.6643712750586,-72.3540223562217,-158.461270645715
1649.72485915136,21.2564306944013,1413.59373056506,-15.6450787419261,-72.2448298317358,-158.445696196292
1651.18152422443,21.3924869494998,1412.74597476226,-15.6257822893945,-72.1356328613039,-158.430138271521
